,ali_uid,ins_id,bw_c1,bw_c2,bw_c3
3605,89110,06754e5932fd0ac9f3ddc140e48230cf,46,40.83740398500003,324.94595389813185
3606,89110,082636a9d46d9197aa3f31601f74d632,23,13.23807550274999,105.52389062941074
3607,89110,088bbaef59b1c38eb48f16fd3641c571,23,6.772800520499957,71.33799841627479
3608,89110,08dbf907969c1ddaf293237143ff4823,23,4.540750389000002,36.71920571476221
3609,89110,0a8037f3802a2a13237f50bf2310eaba,23,4.1923161367500095,34.38589699566364
3610,89110,0a8544befedb823c4fb98f226df7b6e9,23,5.011349447999998,41.99699331074953
3611,89110,0b94448fb10f49e949aa71755f832a66,23,17.052152375999974,135.37921163253486
3612,89110,0bcbf65c8360105e23215f3e35796b18,23,5.684666284499998,46.51730574667454
3613,89110,0c310010a0762142c7674e7f0f9ddaad,23,5.4768387449999985,48.90698583796621
3614,89110,0cf80c10f07055d95cda84adbe06c103,23,6.140445381000011,49.64615545235575
3615,89110,0d26249fe3a4352a0eae49525da10680,23,4.050471894000008,29.734158217906955
3616,89110,0d810fbb9389d873a70de7a337df72b6,23,10.211755291500042,85.39532298222184
3617,89110,0ffb5ecf2d038596ead4a5b731463271,46,18.07886825324997,132.7654645498842
3618,89110,100ddb75c0421254f6e22e4c7e0c844b,23,9.165586022249986,72.85189460031688
3619,89110,10cb4ed6b961fdb1d1ce3ddefe08c876,23,8.258759034749975,69.56399406306446
3620,89110,1132ed0a9d32f548318dc77bb13bd90f,23,8.689223885999976,72.5210040807724
3621,89110,13ee981e510fad6949fa113280ff4cc9,23,6.447152302499992,54.64298967272043
3622,89110,142e80ae4480bc53b6a85ae64f914014,23,8.371801052999988,66.08505768701434
3623,89110,14cc9820c14f6bd7d6c97785e3048a7c,23,6.042454640250007,43.466881681233644
3624,89110,15665a258fce6e7e53de2093c74af4f4,46,39.50394280874997,329.11572215147316
3625,89110,160bcafbd5f7e33a5b4b2cb7e5e2b00b,23,2.0737912807499974,16.060893014073372
3626,89110,1a616066fb7e52e671a26722f9b4e168,23,4.639931042249995,36.461955131962895
3627,89110,1a876089f631949839bbaa3f3674fa99,23,8.440840080749988,70.66899689845741
3628,89110,1ce18c059e2f02e028cd455cd9af526c,23,2.939465969999994,19.31131800636649
3629,89110,208af224c5248a5ae1be26f55e428178,23,4.323829781250017,33.04222614504397
3630,89110,2460c0271450f40642e55907c699e2e6,23,7.716971592750002,66.06836713850498
3631,89110,25a04c1928223962f8fee4f46601e6b9,23,17.60572772174999,136.8585664127022
3632,89110,2630120883f47cab7e61db81436da322,23,14.81984503124995,103.0304897390306
3633,89110,28a4adc5394e6544d837308d6a1969ee,23,6.096395103749983,54.90377504378558
3634,89110,2ba37c6c244152532cb4e2634d837b87,23,1.7547438510000062,13.931397618725898
3635,89110,2bfdb1abf6e5efcfd3c50b4b9f79ad30,23,11.042040408000027,81.73548672348261
3636,89110,2c2f2d6139646bc14b30c372e1423c2f,23,11.475603573000022,120.73932630009949
3637,89110,2c978cb77b14a097d1704154e2179689,23,6.346977619500004,57.15308890677989
3638,89110,2d46e186c4a94a5673bb45fd8e04dcaf,23,16.642301528999948,132.42411741055548
3639,89110,2db066052615cf543522768f0f764866,23,9.067391875500014,63.091153828427196
3640,89110,30bcdf126b818a23b604376c913033f5,23,8.457100937250022,79.73855713382363
3641,89110,30ca3c802b75d504e22169414c875d1b,23,7.1933622022499994,53.87631157413126
3642,89110,3258bc6990d8e8c1eae1fce31e75f284,23,16.227367590000007,114.32258605957031
3643,89110,33b0238b57e89fe05df3f64ce14d32d5,23,3.616798820250006,27.283888645470142
3644,89110,33d29b343dac634ab2a9b97084e0d47f,23,5.075370310500007,43.320271521806724
3645,89110,33eafc7caea1cd3cff2be9f53f74c8b3,23,7.567089374250029,63.38297006674111
3646,89110,367ac28de33c258f4acb23d52df0f1eb,23,9.460757239499983,69.77827912196517
3647,89110,36cc96dd4e763713ce8e1f18dabaff7b,23,3.121559668499998,20.7911391556263
3648,89110,36e99276febf893fc432944f3dffeee2,23,1.4198056319999934,11.71697703190148
3649,89110,37ebcfdf095f930429c918e147291c38,23,12.138753464250016,86.22157003730536
3650,89110,37eeac2343380d272a689c7f1fd90e50,23,7.550443188750021,59.41162529401482
3651,89110,37f7542667a5234cb2d67978dd589f35,23,9.390457287749978,72.11216557770967
3652,89110,38240b5e3782430939ba37d3e5f06bda,23,2.1066053767500037,17.075965125113726
3653,89110,39af58ecf2186da95814a6185f421840,23,5.507091077250004,42.55235773511232
3654,89110,3a594f1e666f2b5ccac72e5fc2e34eea,23,8.676317711250016,71.70068467967212
3655,89110,3c0c57cc332e8dd3ed3517c7ec7b296c,23,8.54785392825001,64.6210510097444
3656,89110,3e5f528ed73f66415affde118a38702e,23,6.213696761999987,50.28250719420612
