,vm,sea_min,sea_avg,sea_max
123,+Rwdrl6Hq36V4HLLcaHcM7ZfTzc6fzhHTILv1ZlCNtUUCNNGuu5vuhCOx5S+ZI4+,0.013092270793423122,0.048758666612667034,0.46724097239970996
124,+S3oojJzfZyATbVM+aiullReZ0du0XTUAk/SoKvBhvf9cqcOf1f8lUd4ic/i7rU6,0.04486413529616584,0.04757121590905333,0.026416622323569672
125,+SB1G3BtLL1T95yFF5F7XTEBn8TpN5n2fo4GzBMHhtnMDLp5EewpPWHiw6t+2xBo,0.10627174650000581,0.24503570102494265,0.30332747222434775
126,+SFNHdhbczTOw/OoJaS3SUGLv2Cy8lAuqQxFHE3rGGidKvy7WQV4jm1qwWvYsy/s,0.06763507957017068,0.1273724745830931,0.18736751504684324
127,+Sc1kqok5aziHCvLaYnvXzhevCs59ArpT4WNw5gehHDQuUyHI8Jg8s/ir23wQ2de,0.4302546821890466,0.4464323299144002,0.24538433433583462
128,+TDx/5uIWiDdWaFh3qFr+UJp8/oNw462FKGonbWCMyhgo0gUBtVy/DYzRh2ErB5G,0.034396145661873545,0.04002322928861701,0.09341559766225516
129,+UBuqyjNPX5Jk7u/+Q406s9D6xAdnEY8gqBvIWU+3rCX75xut9DEl1zapFKEIDIW,0.21926239496314803,0.07945273974150724,0.1183395099650616
130,+UK/UzbxcbZOZPVD1flL0jLT0oLWgL35qYsf4YkDcE6Pz8SVJQxfu+P6CkpTiCTw,0.5213898813900245,0.6082484914637949,0.25708111426866564
131,+UMYuZOhCMk4OGxnEK7aU9w+wZAcU1W0SS6qRke4y/oLpFXf+M2UIo/PXO+rCExU,0.043512266913994235,0.025412297127733963,0.03409328190445848
132,+USnkXCyKsAyn6ASKsi7MkdAQJM8o66G6YjjPqJJD6B9FjzxUWY46do3bHo36MoC,0.03960206195859939,0.1310052126505512,0.058987276671267685
133,+UXgjVHZSeP4mfQJ2RVswEK9xouoLMExRcS/n+EN3XBo+FErGOpLBq30QV+6lG9p,0.025750308374429487,0.06702815385140315,0.09610714080202187
134,+UoWYbSyK19OOb7k8PYc6mmvtpg3onQug0qI6Myz8KfWgpS1fv4DQJSIPQOFEZ6W,0.03870477704493902,0.378334717027769,0.3138092285843974
135,+Uopmi1jByx8MSiRp5oth05qXXX28+fk9QpPEtI5leeaOLbWHZU4kZnULZ2aK6VY,0.029143262025573158,0.14065298560839457,0.10667044473166243
136,+UquqdDbW2l827egmwfn/+PeBah04YglidkuBjW5t1fMQ8oPfBks4IxXHmu7Yuzi,0.027402990809504923,0.25552826092255143,0.311308748015914
137,+UuVTrXTtepnpBifpWZN+9g3ldCBUAPie1WJWQfr4sf3Vp3oewjwN+AZcnIohKIc,0.022285885587898235,0.02760520224435059,0.193641796867417
138,+UyoIHiWL7Gsgu0YYSV6wUkHy4/rX8qS2j3Ey84ip2Ns9jZB+mJ2Y2FCE3/MbVOd,0.028285068374957367,0.42104449855604165,0.3803237519551612
139,+VMqPRuyt7neb35it+HqCV1tgzXj5U5VUoVObnirB6axpcK82Ei0dw9zY3NnCEV5,0.06938766742706248,0.2932721621849953,0.22762298707513706
140,+VqEXdGOgIyiB5qNtpQh6E2WyfVcL7ctzWAeBByMNMZAKF0YGJRkC7tSYfVVOSGg,0.12923222147150282,0.5229928981452446,0.03608900441198071
141,+W11VCNVbDpa+z34ntW+Y1nLdpi49b3wGmqxDtrNvVER48WL5NrxzR1dBBgnlxfY,0.03315269140475752,0.03665537765998028,0.045719970147725775
142,+W8T1srBL/PvhaIeWO3sg9ax9sKdr9DDIt9gSZOFNX/w89WH0L3zZXRd106ow2cZ,0.05025123154199873,0.14085301570045883,0.14635939542909326
